ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,Date/Time,Building material,Size of household,Children in household,Number of children,Are all the children in school?,Other - Are the children in school,Type of disaster experienced,Other - Type of disaster experienced,Home wall material,Other - Home wall material,Distance to medical facility,Have they ever had to leave this home due to disaster?,Time before return,District (E),Province,District (S),District (W),District (N),Economic Indicators,Ownership,Other - What do they own,Other - Ownership,Notes on visit,What country are you originally from?,Disability,Type of disability,Other - Type of disability,Former profession,Current source of income,Are there places where people can save money. ,Technology1,Other - Technology,Technology,Other – Technology2,Access to information,Other - Technology,Other - What country are you originally from?,"If you own a business, where do you get supplies?",Other - Access to information,In the last year was there a time when you or somebody you know needed health services but couldn't get them?,"Do you have an emergency plan in the event of another disaster such as drought, flood, landslide, fire, or other.",How was this plan created?,Other - How was this plan created?,"In the last year, was there a time when you needed to buy business supplies but couldn't?","If so, why?","Other - If so, why?",Who provides these services?,Are there places where people can borrow money?,Other - Are there places where people can borrow money?,"If so, who?","Other - If so, who?",Other - Are there places where people can save money. ,Which district?,"Overall, what level of living is this neighborhood?","Other - Overall, what level of living is this neighborhood?",Date,Age,Duration in camp (yrs),In the last year was there a time when you or somebody you know needed health services but couldn't get them?,Evidence of erosion on house?,Evidence of erosion around house?,Presence of drainage ditch?,Other - Presence of drainage ditch?,x,y
9,18c3dfd9-7e06-4fdc-9b0d-064d0e6e90d5,6/16/2022 8:01:04 AM,tscott71_MCCgeography,6/20/2022 9:20:35 AM,tscott71_MCCgeography,6/16/2022 7:48:00 AM,,10,Yes,5,Yes,,"Flood,other",hungry,Mud,,.25 mile,No,,,Southern,Nyamagabe,,,,House,,,"land in drc but can't access
female head",DRC,Yes,Physical,,farmer,unhcr,No,,,Cell_phone,,Community_leaders,,,,,No,No,,,,,,,No,,,,,North Kivu,Average,,,,,,,,,,29.5234533333333,-2.484495
10,dcce0796-80e9-4ea2-a6c5-e7b91ab7b022,6/16/2022 11:06:31 AM,tscott71_MCCgeography,6/20/2022 9:20:22 AM,tscott71_MCCgeography,6/16/2022 8:19:00 AM,,5,Yes,3,Yes,,other,hunger,Mud,,.25 mile,No,,,Southern,Nyamagabe,,,,,,,stable furniture,DRC,No,,,teacher,un,Yes,,,"Cell_phone,Internet_access",,Camp_management,,,,,Yes,Yes,"Local_leadership,Camp_leadership",,,,,"agents, banks",Yes,,Community savings/loan group,,,North Kivu,Poor,,,,,,,,,,29.5237333333333,-2.48488666666667
11,36acbde2-7a10-4c0a-9e55-fd0f8595c21e,6/16/2022 11:06:32 AM,tscott71_MCCgeography,7/4/2022 7:28:31 AM,tscott71_MCCgeography,6/16/2022 8:47:00 AM,,8,Yes,4,Yes,,,,Mud,,.25 mile,,,,Southern,Nyamagabe,,,,,,,Vision problem,DRC,Yes,Physical,,cheesemaker,unhcr,,,,"Cell_phone,Internet_access,other",,"Media_sources,Word_of_mouth,Host_community,Camp_management",radio,,,,Yes,Yes,"Camp_leadership,Local_leadership",,,,,,,,,,,Kichanga,,,,,,,,,,,29.5235716666667,-2.484825
12,d50f1917-3b93-425d-a22f-19786bb9cb89,6/16/2022 11:06:33 AM,tscott71_MCCgeography,6/20/2022 9:20:12 AM,tscott71_MCCgeography,6/16/2022 9:00:00 AM,,8,Yes,3,Yes,,,,Mud,,,No,,,Southern,Nyamagabe,,,,Livestock,,,"mental health, epilepsy
51 benn here 9",DRC,Yes,Physical,,farmer,unhcr,,,,Cell_phone,,,,,,,Yes,No,,,,,,,,,,,,Masisi,,,,,,,,,,,29.5234083333333,-2.48513666666667
13,8a949c9f-3c72-4391-9de5-98a5df98d9d9,6/16/2022 11:06:35 AM,tscott71_MCCgeography,6/20/2022 9:20:08 AM,tscott71_MCCgeography,6/16/2022 9:26:00 AM,,5,Yes,4,Yes,,other,covid,Mud,,100 feet,,,,Southern,Nyamagabe,,,,Business,,,"36 yrs old, 9 yrs",DRC,No,,,ag,shop owner,,,,Cell_phone,,Camp_management,,,nyamambe,,No,Yes,Local_leadership,,No,,,,,,,,,Ngungu,,,,,,,,,,,29.5234266666667,-2.48527833333333
14,19ee6202-5d7b-47d2-8780-697bddf113b3,6/16/2022 11:06:36 AM,tscott71_MCCgeography,6/20/2022 9:19:54 AM,tscott71_MCCgeography,6/16/2022 9:48:00 AM,,12,Yes,6,Yes,,,,Mud,,100 feet,,,,Southern,Nyamagabe,,,,Business,,,"50y, 10
no savings",DRC,Yes,Physical,,coffee lady,"past buisiness, unhcr",,,,Cell_phone,,Camp_management,,,nyamagabe,,No,No,,,Yes,other,quarantone,,,,,,,Masisi,,,,,,,,,,,29.52348,-2.48625333333333
15,120ff950-b511-4d3e-a4db-d375a864c5ff,6/16/2022 11:06:36 AM,tscott71_MCCgeography,6/16/2022 11:06:36 AM,tscott71_MCCgeography,6/16/2022 10:01:00 AM,,4,Yes,1,other,young,,,Mud,,.25 mile,,,,Southern,Nyamagabe,,,,,,,"22yr, 10
dropped oit of school
whole fam here",DRC,Yes,Physical,,,unhcr,,,,Cell_phone,,Camp_management,,,,,No,Yes,Camp_leadership,,,,,,,,,,,Nyamitaba,,,,,,,,,,,29.5232966666667,-2.486225
16,134c38b1-81dd-4e96-b282-ca57327a0d6f,6/16/2022 11:23:26 AM,nag5034@rit.edu_RITArcGIS,6/20/2022 9:19:48 AM,tscott71_MCCgeography,6/16/2022 8:06:00 AM,,13,Yes,7,Yes,,Flood,,Mud,,.25 mile,,,,Southern,Nyamagabe,,,,House,,,savings unhcr card,DRC,No,,,Farmers,UNHCR,No,,,,,"Host_community,Camp_management",,,no,,No,No,,,,,,,Yes,,Community savings/loan group,,,North Kivu,Poor,,,,,,,,,,29.5576723572842,-2.49530722213027
17,d3259fbb-b2af-462c-bfc3-4e3c1f444563,6/16/2022 11:23:28 AM,nag5034@rit.edu_RITArcGIS,6/16/2022 11:23:28 AM,nag5034@rit.edu_RITArcGIS,6/16/2022 8:33:43 AM,,4,Yes,1,Yes,,other,lack of money,Mud,,.25 mile,No,,,Southern,Nyamagabe,,,,,,,"30 yeara old, 10 years in camp, woman",DRC,No,,,"business woman, cafeteria",unhcr,No,,,Cell_phone,,Camp_management,,,,,Yes,Yes,"Camp_leadership,other",NGO,,,,,No,,,,,Mushake,Poor,,,,,,,,,,29.5236918,-2.4850038
18,49d22929-9b4b-45cb-8efe-c694f7a2a845,6/16/2022 11:23:29 AM,nag5034@rit.edu_RITArcGIS,6/20/2022 9:19:43 AM,tscott71_MCCgeography,6/16/2022 9:13:25 AM,,4,Yes,2,No,,,,Mud,,100 feet,,,,Southern,Nyamagabe,,,,Business,,,"has savings, use saving if disaster occurs, age 29",DRC,No,,,student,"business, unhcr",,,,"Cell_phone,Computer",,Camp_management,,,"yes, nyamagabe work jov outaide ",,No,No,,,No,,,,,,,,,Masisi,,,,,,,,,,,29.52333777,-2.48526123
